relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source,source_type,source_link,source_date
disease_phenotype_positive,phenotype present,28310,7433,disease,dementia/parkinsonism with non-Alzheimer amyloid plaques,MONDO,23153,1300,effect/phenotype,Parkinsonism,HPO,,,
disease_phenotype_positive,phenotype present,28310,7433,disease,dementia/parkinsonism with non-Alzheimer amyloid plaques,MONDO,22442,726,effect/phenotype,Dementia,HPO,,,
disease_phenotype_positive,phenotype present,28310,7433,disease,dementia/parkinsonism with non-Alzheimer amyloid plaques,MONDO,89049,11960,effect/phenotype,Substantia nigra gliosis,HPO,,,
disease_phenotype_positive,phenotype present,28310,7433,disease,dementia/parkinsonism with non-Alzheimer amyloid plaques,MONDO,22759,6,effect/phenotype,Autosomal dominant inheritance,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22999,2015,effect/phenotype,Dysphagia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,91412,31868,effect/phenotype,Optic ataxia,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,22998,1288,effect/phenotype,Gait disturbance,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,24284,2354,effect/phenotype,Memory impairment,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,85516,3487,effect/phenotype,Babinski sign,HPO,,,
disease_phenotype_positive,phenotype present,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,23000,1250,effect/phenotype,Seizure,HPO,,,
