File,relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source,source_type,source_link,source_date
alzheimer_kg.csv,DISEASES_STAGE,,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,,,Stage,Mild (MMSE 21-26),,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,DISEASES_STAGE,,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,,,Stage,Moderate (MMSE 10-20),,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,DISEASES_STAGE,,28780,11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,disease,Alzheimer disease,MONDO_grouped,,,Stage,Severe (MMSE <10),,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Mild (MMSE 21-26),,,,Phenotypes,Memory loss for recent events,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Mild (MMSE 21-26),,,,Phenotypes,Difficulty learning new information,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Mild (MMSE 21-26),,,,Phenotypes,Subtle language problems,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Moderate (MMSE 10-20),,,,Phenotypes,Significant memory loss,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Moderate (MMSE 10-20),,,,Phenotypes,Confusion in daily activities,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Moderate (MMSE 10-20),,,,Phenotypes,Behavioral changes,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Severe (MMSE <10),,,,Phenotypes,Severe memory loss,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Severe (MMSE <10),,,,Phenotypes,Complete dependence on others,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_PHENOTYPES,,,,Stage,Severe (MMSE <10),,,,Phenotypes,Physical symptoms,,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
alzheimer_kg.csv,STAGE_TREATMENT,,,,Stage,Mild (MMSE 21-26),,,,Treatment,Donepezil Treatment (NICE),,Guideline,https://cks.nice.org.uk/topics/dementia/,2024-04-01
