NODE_ID,TYPE,NAME
n_0,disease,dementia/parkinsonism with non-Alzheimer amyloid plaques
n_1,disease,Alzheimer disease
n_2,disease,"Alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology"
n_3,disease,familial Alzheimer disease
n_4,disease,Alzheimer disease without neurofibrillary tangles
n_5,disease,"Alzheimer disease, susceptibility to, mitochondrial"
n_6,pathway,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
n_7,Stage,Mild (MMSE 21-26)
n_8,Stage,Moderate (MMSE 10-20)
n_9,Stage,Severe (MMSE <10)
n_10,Treatment,Donepezil Treatment (NICE)
n_11,Treatment,Rivastigmine Treatment (NICE)
n_12,Treatment,Rivastigmine Patch Treatment (NICE)
n_13,Treatment,Galantamine Treatment (NICE)
n_14,Treatment,Galantamine Treatment moderate hepatic impairment (NICE)
n_15,Treatment,Memantine Treatment (NICE)
n_16,Treatment,Memantine Treatment renal impairment 1 (NICE)
n_17,Treatment,Memantine Treatment renal impairment 2 (NICE)
n_18,Treatment,Memantine Treatment renal impairment 3 (NICE)
n_19,Treatment,Haloperidol Treatment (NICE)
n_20,Treatment,Risperidone Treatment (NICE)
n_21,Step,Donepezil Treatment (NICE) (1)
n_22,Dosage,Donepezil 5mg/day
n_23,Step,Donepezil Treatment (NICE) (2)
n_24,Step,Galantamine Treatment (NICE) (1)
n_25,Dosage,Galantamine 8mg/day
n_26,Step,Galantamine Treatment (NICE) (2)
n_27,Dosage,Galantamine 16mg/day
n_28,Step,Galantamine Treatment (NICE) (3)
n_29,Step,Galantamine Treatment moderate hepatic impairment (NICE) (1)
n_30,Step,Galantamine Treatment moderate hepatic impairment (NICE) (2)
n_31,Dosage,Galantamine 8-16mg/day
n_32,Step,Rivastigmine Patch Treatment (NICE) (1)
n_33,Dosage,Rivastigmine Patch 4.6mg/day
n_34,Step,Rivastigmine Patch Treatment (NICE) (2)
n_35,Dosage,Rivastigmine Patch 9.5mg/day
n_36,Step,Rivastigmine Patch Treatment (NICE) (3)
n_37,Dosage,Risperidone 0.5-5 mg/day
n_38,drug,Donepezil
n_39,drug,Galantamine
n_40,drug,Rivastigmine
n_41,drug,Memantine
n_42,drug,Haloperidol
n_43,drug,Risperidone
n_44,Therapy,Cognitive Stimulation Therapy
n_45,Therapy,Reminiscence Therapy
n_46,Therapy,Behavioral Management
n_47,Therapy,Music Therapy
n_48,Treatment,Donepezil Treatment (成大)
n_49,Step,Donepezil Treatment (成大) (1)
n_50,Step,Donepezil Treatment (成大) (2)
n_51,Treatment,Rivastigmine Treatment (成大)
n_52,Treatment,Galantamine Treatment (成大)
n_53,Step,Galantamine Treatment (成大) (1)
n_54,Step,Galantamine Treatment (成大) (2)
n_55,Treatment,Memantine Treatment (成大)
n_56,drug,Rivastigmine patch
n_57,Stage,Mild  (ADAS-Cog)
n_58,Stage,Moderate (ADAS-Cog)
n_59,Stage,Severe (ADAS-Cog)
n_60,Treatment,Donepezil Treatment  (MaHTAS)
n_61,Treatment,Rivastigmine Patch Treatment (MaHTAS)
n_62,Treatment,Rivastigmine Treatment (MaHTAS)
n_63,Treatment,Galantamine Treatment (MaHTAS)
n_64,Treatment,Memantine Treatment (MaHTAS)
n_65,Treatment,Donepezil Treatment (MaHTAS)
n_66,Dosage,Donepezil 10 mg/day
n_67,Dosage,Rivastigmine 6 - 12 mg/day*2
n_68,Dosage,Rivastigmine Patch 9.5 mg/day
n_69,drug,Rivastigmine Patch
n_70,Therapy,Exercise
n_71,Therapy,Diet and supplement
n_72,Treatment,Donepezil Treatment (AmericanAcademy of Family Physicians)
n_73,Treatment,Rivastigmine Patch Treatment (AmericanAcademy of Family Physicians)
n_74,Treatment,Rivastigmine Treatment (AmericanAcademy of Family Physicians)
n_75,Treatment,Galantamine Immediate Release Treatment (AmericanAcademy of Family Physicians)
n_76,Treatment,Galantamine Extended Release Treatment (AmericanAcademy of Family Physicians)
